SubjectID,researchdate,BrandID,Brand,CategoryNameDelivery,daily_ots,score,threshold,reason
442932828512505024,2025-08-08,213619,nokia,Смартфоны,53473.8,0.9411632935028298,0.9353643479417053,daily_ots=53473.8; share=0.7546; deviation=3.773; robust_z=12.824
504410216844887574,2025-06-06,201581,chappi,Корм для собак,43463.907,0.9392853633015962,0.9353643479417053,daily_ots=43463.907; share=0.702; deviation=3.51; robust_z=12.622
504410762191816834,2025-06-15,213619,nokia,Смартфоны,62851.449,0.945612863691808,0.9353643479417053,daily_ots=62851.449; share=0.8861; deviation=3.545; robust_z=56.901
576465923186619466,2025-06-16,369276,iqoo,Смартфоны,28088.226,0.945066856280675,0.9353643479417053,daily_ots=28088.226; share=0.6699; deviation=5.359; robust_z=26.732
576467810957597286,2025-07-30,307306,tecno camon,Смартфоны,38406.93,0.9479321667447091,0.9353643479417053,daily_ots=38406.93; share=0.7915; deviation=3.166; robust_z=68.011
648524241621891017,2025-06-05,197548,asics,Обувь,122836.833,0.9500699490701399,0.9353643479417053,daily_ots=122836.833; share=0.8904; deviation=3.561; robust_z=35.888
648524241621891017,2025-06-14,197548,asics,Обувь,70084.335,0.9463184243538383,0.9353643479417053,daily_ots=70084.335; share=0.7147; deviation=4.288; robust_z=16.738
648524241621891017,2025-06-26,197548,asics,Обувь,84150.204,0.9496459189631351,0.9353643479417053,daily_ots=84150.204; share=0.7569; deviation=4.541; robust_z=22.389
648524241621891017,2025-06-26,203835,ecco,Обувь,14025.034,0.9419367799147894,0.9353643479417053,daily_ots=14025.034; share=0.8924; deviation=2.677; robust_z=775.094
648524241621891017,2025-07-06,197627,adidas,Обувь,76081.884,0.9522944451188845,0.9353643479417053,daily_ots=76081.884; share=0.7296; deviation=5.836; robust_z=40.734
648524241621891017,2025-07-08,197627,adidas,Обувь,65558.705,0.9511772833168578,0.9353643479417053,daily_ots=65558.705; share=0.7059; deviation=5.648; robust_z=39.679
657537196568801346,2025-08-01,238974,tecno spark,Смартфоны,76098.174,0.9434112022568693,0.9353643479417053,daily_ots=76098.174; share=0.706; deviation=4.942; robust_z=27.679
657540071955486912,2025-06-29,207558,huggies,Подгузники,27512.532,0.9361917066995024,0.9353643479417053,daily_ots=27512.532; share=0.6322; deviation=3.793; robust_z=24.569
658983189719959233,2025-10-15,197548,asics,Обувь,20787.884,0.9368059289063088,0.9353643479417053,daily_ots=20787.884; share=0.7926; deviation=2.378; robust_z=80.61
720583759961119936,2025-06-12,197627,adidas,Одежда,23553.633,0.9433406750952407,0.9353643479417053,daily_ots=23553.633; share=0.658; deviation=3.948; robust_z=21.611
729594265295609632,2025-10-31,200656,bosch,Крупная техника,23178.684,0.9370403450050006,0.9353643479417053,daily_ots=23178.684; share=0.7968; deviation=3.187; robust_z=31.187
792639191900656652,2025-07-18,242139,яндекс,Аудиотехника,41674.039,0.9502511807518659,0.9353643479417053,daily_ots=41674.039; share=0.7058; deviation=4.941; robust_z=51.491
792639191900656652,2025-07-19,214973,philips,Малая техника,23115.933,0.9399909239636265,0.9353643479417053,daily_ots=23115.933; share=0.6743; deviation=3.371; robust_z=17.306
792640588831739337,2025-10-29,221942,xiaomi,Смарт-часы и браслеты,19345.83,0.9369695287976275,0.9353643479417053,daily_ots=19345.83; share=0.6524; deviation=3.262; robust_z=11.335
792640751260989745,2025-10-25,199814,befree,Одежда,39696.948,0.9451758265263062,0.9353643479417053,daily_ots=39696.948; share=0.6101; deviation=4.88; robust_z=28.457
801649609405801345,2025-10-22,218309,sony,Аудиотехника,23096.115,0.9363579080025204,0.9353643479417053,daily_ots=23096.115; share=0.5424; deviation=3.797; robust_z=12.219
801649609405801345,2025-10-28,208338,janome,Малая техника,17050.89,0.9356656434447316,0.9353643479417053,daily_ots=17050.89; share=0.7783; deviation=2.335; robust_z=78.194
801651201304651908,2025-10-01,221942,xiaomi,Малая техника,11609.231,0.9379239578455686,0.9353643479417053,daily_ots=11609.231; share=0.5427; deviation=3.799; robust_z=49.559
801651201304652231,2025-08-06,207286,hisense,Крупная техника,24517.104,0.944757577334189,0.9353643479417053,daily_ots=24517.104; share=0.9349; deviation=2.805; robust_z=628.272
802341714711045824,2025-07-16,207943,infinix,Смартфоны,59155.217000000004,0.9393414381760058,0.9353643479417053,daily_ots=59155.217; share=0.5214; deviation=5.735; robust_z=13.531
864698737912134848,2025-07-01,206402,google pixel,Смартфоны,65521.292,0.9421396900273438,0.9353643479417053,daily_ots=65521.292; share=0.7778; deviation=3.111; robust_z=13.933
864698737912134848,2025-08-02,214142,oneplus,Смартфоны,39825.666,0.9474078377644046,0.9353643479417053,daily_ots=39825.666; share=0.698; deviation=4.188; robust_z=22.164
864698737912134848,2025-09-20,214142,oneplus,Смартфоны,30629.878,0.9447341646288941,0.9353643479417053,daily_ots=30629.878; share=0.6394; deviation=3.837; robust_z=32.029
864698737912134848,2025-10-22,214142,oneplus,Смартфоны,101421.215,0.9383725568408458,0.9353643479417053,daily_ots=101421.215; share=0.7865; deviation=3.146; robust_z=7.966
936756002501340111,2025-06-09,207943,infinix,Смартфоны,61232.229,0.941056057531665,0.9353643479417053,daily_ots=61232.229; share=0.5088; deviation=6.106; robust_z=20.001
